	d10_1	d10_2	d10_3	d10_4	d13_1	d13_2	d13_3	d19_1	d19_2	d7_1	d7_2
ENSBTAT00000015042	1.291497644	0	0	3.855093309	4.037876036	3.094030614	4.245930756	4.178663551	2.655695021	3.138242097	14.56251869
ENSBTAT00000015043	37.29199446	7.295431224	19.43304577	16.43233523	18.39757269	17.52823593	24.20180531	12.19032915	29.17492229	115.0361869	95.90783795
ENSBTAT00000015044	16.62582931	19.77183864	20.62476234	22.9051158	29.83895938	26.26178032	39.94320045	35.4462886	27.34405812	20.97667086	39.65660549
ENSBTAT00000015047	0	1.9217418	0	0	0	0	0.08854404	0	0	0.981666863	5.124679454
ENSBTAT00000015049	15.16017588	8.183306939	2.477057424	4.108056168	0.756357311	0.827943295	1.4139186	39.90383205	10.16010469	3.918945391	1.81852495
ENSBTAT00000015051	18.59497133	30.6044621	9.851324322	25.99629294	26.01460307	21.06556266	25.89763879	14.96269262	10.7361889	26.02391575	22.22778131
ENSBTAT00000015052	0	0	0	0.515365106	0.944650473	0.295445029	0.756818535	1.150102755	0	5.244167715	0
ENSBTAT00000015056	23.39167549	0.883109418	6.843239117	6.317378713	4.701486224	5.146461788	1.708945079	31.58807565	11.66062849	8.796668425	9.419897491
ENSBTAT00000015059	13.17651822	5.223278132	6.535078611	17.37146983	12.6164197	8.173567066	8.002010199	43.59941237	71.09807719	9.338568114	9.672802688
ENSBTAT00000015060	0	0	0	0	0	0	0	0	0	3.783766579	0
ENSBTAT00000015061	4.459763766	16.5002725	2.739879952	5.088257296	5.15908808	4.171933727	4.040176287	3.395210549	5.557922565	4.334756153	1.25717212
ENSBTAT00000015064	0	0	0.772750736	0.266992147	0.838953385	0.114794592	0.588120743	0.383031592	0.188105559	0.815044471	0
ENSBTAT00000015066	18.74034203	62.64304615	2.528243145	17.43700568	14.41041689	26.52162732	19.2048059	10.84484069	6.391038853	20.92269075	52.82754143
ENSBTAT00000015070	22.4429009	0	3.016106921	11.83518042	8.244725905	22.08257882	15.24855588	6.407153316	7.86632997	12.27027611	11.07133334
ENSBTAT00000015071	2.678212085	4.632719471	0.280461487	7.170740608	6.889064061	5.749556147	5.549752937	3.52176796	6.736059145	3.253926924	6.177001064
ENSBTAT00000015073	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000015075	17.925705	29.3710289	45.88647359	27.2295516	34.2807585	32.00385401	40.33608439	23.99563853	30.15856343	5.081780008	22.73901484
ENSBTAT00000015077	19.02083	0	0	0.16457037	0	0	0.181254859	0.157397016	0	3.01429472	0
ENSBTAT00000015078	0	0	0	0	0.541700975	0	0	0	0	2.80673765	0
ENSBTAT00000015081	15.15536877	0.775188446	0.563152176	7.29652534	4.509061869	5.103141403	4.286006606	1.953974874	5.026427238	5.345768579	7.579671615
ENSBTAT00000015083	26.65267907	9.187249584	6.340559691	13.31726493	9.148160598	11.4516476	6.159036914	6.47866874	5.144800561	9.151435447	9.799799156
ENSBTAT00000015084	15.28402216	8.078279596	9.455028637	6.589914465	8.760692909	5.230830014	9.119043002	13.25176944	12.06342537	12.3796746	3.590370765
ENSBTAT00000015085	192.3781677	140.3188744	172.030024	134.3307431	116.8191566	146.8959869	163.6907752	164.8049998	117.7166551	181.2723342	221.7399675
ENSBTAT00000015086	2.982185468	6.079692241	5.234633559	4.57804847	13.11995072	11.73722523	8.590381811	5.594748465	6.291520223	5.693667804	2.401869966
